Stone Shape,Sieve /  MM,Stone Size
MARQUISE,4.20X2.21,0.07
MARQUISE,4.30X2.26,0.08
MARQUISE,4.40X2.32,0.09
MARQUISE,4.50X2.37,0.09
MARQUISE,4.60X2.42,0.1
MARQUISE,4.70X2.47,0.11
MARQUISE,4.80X2.53,0.11
MARQUISE,4.90X2.58,0.12
MARQUISE,5.00X2.63,0.13
MARQUISE,5.10X2.68,0.14
MARQUISE,5.20X2.74,0.15
MARQUISE,5.30X2.79,0.15
MARQUISE,5.40X2.84,0.16
MARQUISE,5.50X2.89,0.17
MARQUISE,5.60X2.95,0.18
MARQUISE,5.70X3.00,0.19
MARQUISE,5.80X3.05,0.2
MARQUISE,5.90X3.11,0.21
MARQUISE,6.00X3.16,0.22
MARQUISE,6.10X3.21,0.24
MARQUISE,6.20X3.26,0.25
MARQUISE,6.30X3.32,0.26
MARQUISE,6.40X3.37,0.27
MARQUISE,6.50X3.42,0.29
MARQUISE,6.60X3.47,0.3
MARQUISE,6.70X3.53,0.31
MARQUISE,6.80X3.58,0.33
MARQUISE,6.90X3.63,0.34
MARQUISE,7.00X3.68,0.36
MARQUISE,7.10X3.74,0.37
MARQUISE,7.20X3.79,0.39
MARQUISE,7.50X3.90,0.43
MARQUISE,8.00X4.10,0.54
MARQUISE,8.40X4.30,0.63
MARQUISE,9.40X4.60,0.74
MARQUISE,9.60X4.70,0.84
MARQUISE,10.00X5.00,0.95
MARQUISE,10.50X5.30,1.04
MARQUISE,11.30X5.70,1.25
MARQUISE,11.60X6.00,1.45
MARQUISE,11.90X6.00,1.55
MARQUISE,12.40X6.30,1.75
MARQUISE,12.90X6.60,2.08
MARQUISE,14.00X7.20,2.6
EMERALD,2.80X2.00,0.07
EMERALD,2.90X2.07,0.08
EMERALD,3.00X2.14,0.09
EMERALD,3.10X2.21,0.1
EMERALD,3.20X2.29,0.11
EMERALD,3.30X2.36,0.12
EMERALD,3.40X2.43,0.13
EMERALD,3.50X2.50,0.14
EMERALD,3.60X2.57,0.15
EMERALD,3.70X2.64,0.16
EMERALD,3.80X2.71,0.18
EMERALD,3.90X2.79,0.2
EMERALD,4.00X2.86,0.21
EMERALD,4.10X2.93,0.23
EMERALD,4.20X3.00,0.24
EMERALD,4.30X3.07,0.26
EMERALD,4.40X3.14,0.28
EMERALD,4.50X3.21,0.3
EMERALD,4.60X3.29,0.32
EMERALD,4.70X3.36,0.34
EMERALD,4.80X3.43,0.37
EMERALD,4.90X3.50,0.39
EMERALD,5.00X3.57,0.42
EMERALD,5.10X3.64,0.44
EMERALD,5.20X3.71,0.47
EMERALD,5.30X3.79,0.5
EMERALD,5.70X4.05,0.6
EMERALD,5.90X4.30,0.74
EMERALD,6.30X4.40,0.84
EMERALD,6.50X4.60,0.95
EMERALD,6.80X4.90,1.04
EMERALD,7.10X5.10,1.25
EMERALD,7.50X5.40,1.45
EMERALD,7.70X5.50,1.55
EMERALD,8.00X5.70,1.75
EMERALD,8.50X5.90,2.08
EMERALD,9.10X6.50,2.6
EMERALD,9.50X6.75,3.08
CUSHION,2.70X2.65,0.1
CUSHION,2.80X2.65,0.11
CUSHION,2.90X2.65,0.13
CUSHION,3.00X2.65,0.14
CUSHION,3.10X2.98,0.16
CUSHION,3.20X2.98,0.17
CUSHION,3.30X2.98,0.19
CUSHION,3.40X3.27,0.21
CUSHION,3.50X3.27,0.23
CUSHION,3.60X3.27,0.25
CUSHION,3.70X3.55,0.27
CUSHION,3.80X3.55,0.29
CUSHION,3.90X3.55,0.31
CUSHION,4.00X3.82,0.34
CUSHION,4.10X3.82,0.36
CUSHION,4.20X3.82,0.39
CUSHION,4.30X4.11,0.42
CUSHION,4.40X4.11,0.45
CUSHION,4.50X4.11,0.48
CUSHION,4.60X4.11,0.52
CUSHION,4.70X4.36,0.55
CUSHION,4.80X4.47,0.59
CUSHION,4.90X4.47,0.62
CUSHION,5.00X4.47,0.66
CUSHION,5.25X5.25,0.74
CUSHION,5.50X5.50,0.84
CUSHION,5.75X5.75,0.95
CUSHION,6.00X6.00,1.04
CUSHION,6.30X6.30,1.25
CUSHION,6.50X6.50,1.45
CUSHION,6.75X6.75,1.55
CUSHION,6.90X6.90,1.75
CUSHION,7.30X7.30,2.08
CUSHION,8.00X8.00,2.6
TRAPEZOID STEPCUT,2.40X4.26,0.15
TRAPEZOID STEPCUT,2.50X4.26,0.15
TRAPEZOID STEPCUT,2.60X4.26,0.16
TRAPEZOID STEPCUT,2.70X4.69,0.2
TRAPEZOID STEPCUT,2.80X4.69,0.21
TRAPEZOID STEPCUT,2.90X5.08,0.23
TRAPEZOID STEPCUT,3.00X5.08,0.25
TRAPEZOID STEPCUT,3.10X5.08,0.28
TRAPEZOID STEPCUT,3.20X5.47,0.33
TRAPEZOID STEPCUT,3.30X5.47,0.34
TRAPEZOID STEPCUT,3.40X5.89,0.4
TRAPEZOID STEPCUT,3.50X5.89,0.42
TRAPEZOID STEPCUT,3.60X5.89,0.43
TRAPEZOID STEPCUT,3.70X6.23,0.49
TRAPEZOID STEPCUT,3.80X6.46,0.54
TRAPEZOID STEPCUT,3.90X6.46,0.56
HALFMOON BRILLIANT,3.90X2.75,0.13
HALFMOON BRILLIANT,4.00X2.75,0.14
HALFMOON BRILLIANT,4.10X2.75,0.14
HALFMOON BRILLIANT,4.20X2.75,0.15
HALFMOON BRILLIANT,4.30X3.03,0.18
HALFMOON BRILLIANT,4.40X3.03,0.18
HALFMOON BRILLIANT,4.50X3.03,0.19
HALFMOON BRILLIANT,4.60X3.03,0.19
HALFMOON BRILLIANT,4.70X3.28,0.23
HALFMOON BRILLIANT,4.80X3.28,0.24
HALFMOON BRILLIANT,4.90X3.28,0.24
HALFMOON BRILLIANT,5.00X3.28,0.25
HALFMOON BRILLIANT,5.10X3.53,0.29
HALFMOON BRILLIANT,5.20X3.53,0.3
HALFMOON BRILLIANT,5.30X3.53,0.3
HALFMOON BRILLIANT,5.40X3.53,0.31
HALFMOON BRILLIANT,5.50X3.80,0.37
HALFMOON BRILLIANT,5.60X3.80,0.38
HALFMOON BRILLIANT,5.70X3.80,0.38
HALFMOON BRILLIANT,5.80X3.80,0.39
HALFMOON BRILLIANT,5.90X4.00,0.44
HALFMOON BRILLIANT,6.00X4.13,0.47
HALFMOON BRILLIANT,6.10X4.13,0.48
HALFMOON BRILLIANT,6.20X4.13,0.49
HALFMOON BRILLIANT,6.30X4.13,0.5
RADIANT,2.90X2.23,0.08
RADIANT,3.00X2.31,0.09
RADIANT,3.10X2.38,0.1
RADIANT,3.20X2.46,0.11
RADIANT,3.30X2.54,0.12
RADIANT,3.40X2.62,0.13
RADIANT,3.50X2.69,0.15
RADIANT,3.60X2.77,0.16
RADIANT,3.70X2.85,0.18
RADIANT,3.80X2.92,0.19
RADIANT,3.90X3.00,0.2
RADIANT,4.00X3.08,0.22
RADIANT,4.10X3.15,0.24
RADIANT,4.20X3.23,0.26
RADIANT,4.30X3.31,0.28
RADIANT,4.40X3.38,0.3
RADIANT,4.50X3.46,0.31
RADIANT,4.60X3.54,0.34
RADIANT,4.70X3.62,0.36
RADIANT,4.80X3.69,0.38
RADIANT,4.90X3.77,0.41
RADIANT,5.00X3.85,0.44
RADIANT,5.10X3.92,0.46
RADIANT,5.20X4.00,0.49
RADIANT,5.30X4.08,0.52
RADIANT,5.40X4.15,0.55
RADIANT,6.30X4.40,0.74
RADIANT,6.50X4.70,0.84
RADIANT,6.70X4.90,0.95
RADIANT,7.20X4.90,1.04
RADIANT,7.60X5.30,1.25
RADIANT,7.70X5.60,1.45
RADIANT,7.90X5.50,1.55
RADIANT,8.50X5.90,1.75
RADIANT,8.80X6.20,2.08
RADIANT,9.50X6.70,2.6
RADIANT,10.20X7.20,3.08
STRAIGHT BAGUETTE,2.00X1.25,0.03
STRAIGHT BAGUETTE,2.00X1.50,0.04
STRAIGHT BAGUETTE,2.25X1.25,0.04
STRAIGHT BAGUETTE,2.25X1.50,0.05
STRAIGHT BAGUETTE,2.50X1.25,0.04
STRAIGHT BAGUETTE,2.50X1.50,0.05
STRAIGHT BAGUETTE,2.50X1.75,0.06
STRAIGHT BAGUETTE,2.50X2.00,0.07
STRAIGHT BAGUETTE,2.75X1.50,0.05
STRAIGHT BAGUETTE,2.75X2.00,0.08
STRAIGHT BAGUETTE,3.00X1.00,0.03
STRAIGHT BAGUETTE,3.00X1.25,0.04
STRAIGHT BAGUETTE,3.00X1.50,0.05
STRAIGHT BAGUETTE,3.00X1.75,0.08
STRAIGHT BAGUETTE,3.00X2.00,0.09
STRAIGHT BAGUETTE,3.00X2.25,0.12
STRAIGHT BAGUETTE,3.00X2.50,0.13
STRAIGHT BAGUETTE,3.25X1.50,0.06
STRAIGHT BAGUETTE,3.25X1.75,0.08
STRAIGHT BAGUETTE,3.25X2.00,0.1
STRAIGHT BAGUETTE,3.25X2.25,0.12
STRAIGHT BAGUETTE,3.25X2.50,0.14
STRAIGHT BAGUETTE,3.50X1.50,0.07
STRAIGHT BAGUETTE,3.50X1.75,0.08
STRAIGHT BAGUETTE,3.50X2.00,0.11
STRAIGHT BAGUETTE,3.50X2.50,0.15
STRAIGHT BAGUETTE,3.75X1.00,0.04
STRAIGHT BAGUETTE,3.75X1.25,0.05
STRAIGHT BAGUETTE,3.75X1.75,0.1
STRAIGHT BAGUETTE,3.75X2.00,0.12
STRAIGHT BAGUETTE,3.75X2.25,0.15
