Shape,AVGMM,Price Group,Pointer range,MINMM,MAXMM,MINWT,MAXWT,AVGWT
Oval,5.00 X 3.50,O23,0.23-0.29,4.90 X 3.40,5.10 X 3.60,0.22000,0.26000,0.24000
Oval,5.10 X 3.57,O23,0.23-0.29,5.00 X 3.47,5.20 X 3.67,0.24000,0.28000,0.26000
Oval,5.20 X 3.64,O23,0.23-0.29,5.10 X 3.54,5.30 X 3.74,0.25000,0.29000,0.27000
Oval,5.30 X 3.71,O23,0.23-0.29,5.20 X 3.61,5.40 X 3.81,0.27000,0.31000,0.29000
Oval,5.40 X 3.78,O30,0.30-0.39,5.30 X 3.68,5.50 X 3.88,0.28000,0.32000,0.30000
Oval,5.50 X 3.85,O30,0.30-0.39,5.40 X 3.75,5.60 X 3.95,0.30000,0.34000,0.32000
Oval,5.60 X 3.92,O30,0.30-0.39,5.50 X 3.82,5.70 X 4.02,0.32000,0.36000,0.34000
Oval,5.70 X 3.99,O36,0.36-0.45,5.60 X 3.89,5.80 X 4.09,0.34000,0.38000,0.36000
Oval,5.80 X 4.06,O36,0.36-0.45,5.70 X 3.96,5.90 X 4.16,0.36000,0.40000,0.38000
Oval,5.90 X 4.13,O40,0.40-0.49,5.80 X 4.03,6.00 X 4.23,0.38000,0.42000,0.40000
Oval,6.00 X 4.20,O40,0.40-0.49,5.90 X 4.10,6.10 X 4.30,0.40000,0.44000,0.42000
Oval,6.10 X 4.27,O40,0.40-0.49,6.00 X 4.17,6.20 X 4.37,0.42000,0.46000,0.44000
Oval,6.20 X 4.34,O46,0.46-0.55,6.10 X 4.24,6.30 X 4.44,0.44000,0.48000,0.46000
Oval,6.30 X 4.41,O46,0.46-0.55,6.20 X 4.31,6.40 X 4.51,0.47000,0.51000,0.49000
Oval,6.40 X 4.48,O50,0.50-0.59,6.30 X 4.38,6.50 X 4.58,0.49000,0.53000,0.51000
Oval,6.50 X 4.55,O50,0.50-0.59,6.40 X 4.45,6.60 X 4.65,0.51000,0.55000,0.53000
Oval,6.60 X 4.62,O50,0.50-0.59,6.50 X 4.52,6.70 X 4.72,0.54000,0.58000,0.56000
Oval,6.70 X 4.69,O58,0.58-0.69,6.60 X 4.59,6.80 X 4.79,0.57000,0.61000,0.59000
Oval,6.80 X 4.75,O60,0.60-0.69,6.70 X 4.65,6.90 X 4.85,0.61000,0.65000,0.63000
Oval,7.20 X 5.10,O70,0.70-0.79,6.80 X 4.90,7.50 X 5.20,0.70000,0.79000,0.74000
Oval,7.60 X 5.30,O80,0.80-0.89,7.30 X 5.10,7.90 X 5.40,0.80000,0.89000,0.84000
Oval,7.70 X 5.50,O90,0.90-0.99,7.50 X 5.30,8.10 X 5.60,0.90000,0.99000,0.95000
Oval,7.90 X 5.70,O100,1.00-1.19,7.70 X 5.50,8.50 X 5.90,1.00000,1.19000,1.04000
Oval,8.40 X 6.00,O120,1.20-1.39,8.20 X 5.80,8.90 X 6.20,1.20000,1.39000,1.25000
Oval,9.00 X 6.30,O140,1.40-1.49,8.60 X 6.20,9.30 X 6.50,1.40000,1.49000,1.45000
Oval,9.30 X 6.50,O150,1.50-1.69,8.80 X 6.30,9.60 X 6.70,1.50000,1.69000,1.55000
Oval,9.60 X 6.80,O170,1.70-1.99,9.00 X 6.60,9.90 X 7.00,1.70000,1.99000,1.75000
Oval,10.00 X 7.30,O200,2.00-2.49,9.60 X 7.00,10.60 X 7.50,2.00000,2.49000,2.08000
Oval,11.00 X 7.80,O250,2.50-2.99,10.50 X 7.50,11.70 X 8.10,2.50000,2.99000,2.60000
Oval,11.70 X 8.20,O300,3.00-3.49,11.30 X 8.10,12.00 X 8.40,3.00000,3.49000,3.08000
TRILLIANT,2.90 X 3.18,TR8,0.07-0.08,2.80 X 2.99,3.00 X 3.37,0.06000,0.10000,0.08000
TRILLIANT,3.00 X 3.18,TR12,0.09-0.12,2.90 X 2.99,3.10 X 3.37,0.07000,0.11000,0.09000
