Stone Shape,Sieve /  MM,AVG WT
RADIANT,4.40X3.38,0.30000
RADIANT,4.50X3.46,0.31000
RADIANT,4.60X3.54,0.34000
RADIANT,4.70X3.62,0.36000
RADIANT,4.80X3.69,0.38000
RADIANT,4.90X3.77,0.41000
RADIANT,5.00X3.85,0.44000
RADIANT,5.10X3.92,0.46000
RADIANT,5.20X4.00,0.49000
RADIANT,5.30X4.08,0.52000
RADIANT,5.40X4.15,0.55000
RADIANT,6.30X4.40,0.74000
RADIANT,6.50X4.70,0.84000
RADIANT,6.70X4.90,0.95000
RADIANT,7.20X4.90,1.04000
RADIANT,7.60X5.30,1.25000
RADIANT,7.70X5.60,1.45000
RADIANT,7.90X5.50,1.55000
RADIANT,8.50X5.90,1.75000
RADIANT,8.80X6.20,2.08000
RADIANT,9.50X6.70,2.60000
RADIANT,10.20X7.20,3.08000
STRAIGHT BAGUETTE,2.00X1.25,0.03000
STRAIGHT BAGUETTE,2.00X1.50,0.04000
STRAIGHT BAGUETTE,2.25X1.25,0.04000
STRAIGHT BAGUETTE,2.25X1.50,0.05000
STRAIGHT BAGUETTE,2.50X1.25,0.04000
STRAIGHT BAGUETTE,2.50X1.50,0.05000
STRAIGHT BAGUETTE,2.50X1.75,0.06000
STRAIGHT BAGUETTE,2.50X2.00,0.07000
STRAIGHT BAGUETTE,2.75X1.50,0.05000
STRAIGHT BAGUETTE,2.75X2.00,0.08000
STRAIGHT BAGUETTE,3.00X1.00,0.03000
STRAIGHT BAGUETTE,3.00X1.25,0.04000
STRAIGHT BAGUETTE,3.00X1.50,0.05000
STRAIGHT BAGUETTE,3.00X1.75,0.08000
STRAIGHT BAGUETTE,3.00X2.00,0.09000
STRAIGHT BAGUETTE,3.00X2.25,0.12000
STRAIGHT BAGUETTE,3.00X2.50,0.13000
STRAIGHT BAGUETTE,3.25X1.50,0.06000
STRAIGHT BAGUETTE,3.25X1.75,0.08000
STRAIGHT BAGUETTE,3.25X2.00,0.10000
STRAIGHT BAGUETTE,3.25X2.25,0.12000
STRAIGHT BAGUETTE,3.25X2.50,0.14000
STRAIGHT BAGUETTE,3.50X1.50,0.07000
STRAIGHT BAGUETTE,3.50X1.75,0.08000
STRAIGHT BAGUETTE,3.50X2.00,0.11000
STRAIGHT BAGUETTE,3.50X2.50,0.15000
STRAIGHT BAGUETTE,3.75X1.00,0.04000
STRAIGHT BAGUETTE,3.75X1.25,0.05000
STRAIGHT BAGUETTE,3.75X1.75,0.10000
STRAIGHT BAGUETTE,3.75X2.00,0.12000
STRAIGHT BAGUETTE,3.75X2.25,0.15000
STRAIGHT BAGUETTE,3.75X2.50,0.16000
STRAIGHT BAGUETTE,4.00X1.50,0.08000
STRAIGHT BAGUETTE,4.00X1.75,0.10000
STRAIGHT BAGUETTE,4.00X2.00,0.12000
STRAIGHT BAGUETTE,4.00X2.75,0.21000
STRAIGHT BAGUETTE,4.00X3.00,0.25000
STRAIGHT BAGUETTE,4.25X1.75,0.11000
STRAIGHT BAGUETTE,4.25X2.00,0.13000
STRAIGHT BAGUETTE,4.25X2.25,0.16000
STRAIGHT BAGUETTE,4.50X1.25,0.08000
STRAIGHT BAGUETTE,4.50X1.50,0.08000
STRAIGHT BAGUETTE,4.50X2.00,0.15000
STRAIGHT BAGUETTE,4.50X2.25,0.17000
STRAIGHT BAGUETTE,4.50X2.50,0.22000
STRAIGHT BAGUETTE,4.50X2.75,0.25000
STRAIGHT BAGUETTE,4.75X1.50,0.09000
STRAIGHT BAGUETTE,4.75X2.00,0.15000
STRAIGHT BAGUETTE,4.75X2.50,0.23000
STRAIGHT BAGUETTE,5.00X2.00,0.15000
STRAIGHT BAGUETTE,5.00X2.50,0.23000
STRAIGHT BAGUETTE,5.00X3.00,0.33000
STRAIGHT BAGUETTE,5.50X2.50,0.26000
STRAIGHT BAGUETTE,5.50X3.25,0.35000
STRAIGHT BAGUETTE,5.50X3.50,0.38000
STRAIGHT BAGUETTE,6.00X3.00,0.41000
STRAIGHT BAGUETTE,6.00X3.25,0.47000
STRAIGHT BAGUETTE,6.00X3.50,0.53000
STRAIGHT BAGUETTE,6.00X3.75,0.60000
STRAIGHT BAGUETTE,6.00X4.00,0.68000
STRAIGHT BAGUETTE,6.25X3.00,0.43000
STRAIGHT BAGUETTE,6.25X3.25,0.49000
STRAIGHT BAGUETTE,6.25X3.50,0.56000
STRAIGHT BAGUETTE,6.25X3.75,0.63000
STRAIGHT BAGUETTE,6.25X4.00,0.71000
STRAIGHT BAGUETTE,6.50X3.25,0.51000
STRAIGHT BAGUETTE,6.50X3.50,0.58000
STRAIGHT BAGUETTE,6.50X3.75,0.66000
STRAIGHT BAGUETTE,6.50X4.00,0.74000
Tappers,2.25X1.25X1.00,0.03000
Tappers,2.25X1.75X1.25,0.04000
Tappers,2.50X1.00X0.50,0.03000
Tappers,2.50X1.25X1.00,0.04000
Tappers,2.50X1.50X1.00,0.04000
Tappers,2.50X1.50X1.25,0.04000
Tappers,2.50X1.75X1.00,0.05000
Tappers,2.50X1.75X1.25,0.05000
Tappers,2.50X2.00X1.50,0.05000
Tappers,2.75X1.00X0.50,0.03500
Tappers,2.75X1.25X0.75,0.04000
Tappers,2.75X1.25X1.00,0.04000
Tappers,2.75X1.50X1.00,0.04000
Tappers,2.75X1.50X1.25,0.05000
Tappers,2.75X1.75X1.25,0.05000
Tappers,3.00X1.25X0.75,0.04000
Tappers,3.00X1.25X1.00,0.04000
Tappers,3.00X1.50X1.00,0.04000
Tappers,3.00X1.50X1.25,0.05000
Tappers,3.00X1.75X1.00,0.06000
Tappers,3.00X1.75X1.25,0.05000
Tappers,3.00X2.00X1.00,0.07000
Tappers,3.00X2.00X1.50,0.06000
Tappers,3.00X2.50X1.75,0.10000
Tappers,3.25X1.00X0.50,0.04000
Tappers,3.25X1.25X1.00,0.04000
Tappers,3.25X1.50X0.75,0.04000
Tappers,3.25X1.50X1.25,0.04000
Tappers,3.25X1.75X1.00,0.06000
Tappers,3.25X1.75X1.50,0.07000
Tappers,3.25X2.00X1.00,0.08000
Tappers,3.25X2.00X1.25,0.08000
Tappers,3.25X2.00X1.50,0.07000
Tappers,3.25X2.50X1.75,0.12000
Tappers,3.50X1.25X1.00,0.06000
Tappers,3.50X1.50X1.00,0.06000
Tappers,3.50X1.75X1.00,0.07000
Tappers,3.50X1.75X1.25,0.08000
Tappers,3.50X2.00X1.00,0.09000
Tappers,3.50X2.00X1.25,0.08000
Tappers,3.50X2.00X1.50,0.11000
Tappers,3.50X2.50X1.50,0.12000
Tappers,3.75X1.25X1.00,0.07000
Tappers,3.75X1.75X1.25,0.08000
Tappers,3.75X2.00X1.25,0.09000
Tappers,3.75X2.00X1.50,0.09000
Tappers,3.75X2.25X1.75,0.12000
Tappers,4.00X1.25X1.00,0.08000
Tappers,4.00X1.50X1.00,0.08000
Tappers,4.00X1.75X1.25,0.08000
Tappers,4.00X2.00X1.00,0.08000
Tappers,4.00X2.00X1.50,0.10000
Tappers,4.00X2.25X1.75,0.10000
Tappers,4.00X2.50X1.75,0.13000
Tappers,4.25X2.00X1.50,0.10000
Tappers,4.25X2.25X1.50,0.12000
Tappers,4.25X2.50X1.50,0.13000
Tappers,4.25X2.75X1.75,0.15000
Tappers,4.50X1.50X1.25,0.06000
Tappers,4.50X2.00X1.00,0.08000
Tappers,4.50X2.00X1.50,0.09000
Tappers,4.50X2.25X1.50,0.12000
Tappers,4.50X2.50X1.50,0.14000
Tappers,4.50X2.50X1.75,0.14000
Tappers,4.50X2.75X1.75,0.16000
Tappers,4.75X2.00X1.50,0.10000
Tappers,4.75X2.50X1.50,0.15000
Tappers,4.75X2.50X2.00,0.16000
Tappers,4.75X3.00X2.00,0.20000
Tappers,5.00X2.25X1.25,0.14000
Tappers,5.00X2.25X1.75,0.15000
Tappers,5.00X2.75X2.00,0.19000
Tappers,5.50X2.50X1.00,0.16000
Tappers,5.50X3.00X2.25,0.25000
Tappers,5.50X3.00X2.30,0.25000
Tappers,5.50X3.25X2.00,0.25000
Tappers,5.50X3.50X2.25,0.26000
Tappers,6.00X3.00X2.00,0.27000
Tappers,6.00X3.25X2.00,0.33000
Tappers,6.00X3.50X2.25,0.36000
Tappers,6.00X3.75X2.50,0.41000
Tappers,6.00X4.00X2.75,0.47000
Tappers,6.00X4.00X3.00,0.48000
Tappers,6.25X3.00X2.00,0.28000
Tappers,6.25X3.25X2.25,0.33000
Tappers,6.25X3.50X2.50,0.40000
Tappers,6.25X3.75X2.75,0.44000
Tappers,6.25X4.00X3.00,0.51000
Tappers,6.50X3.25X2.25,0.35000
Tappers,6.50X3.50X2.50,0.40000
Tappers,6.50X3.75X2.75,0.45000
Tappers,6.50X4.00X3.00,0.54000
