Date :2023-5-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor Style No,ALTR no.,Picture,Metal Kt / Color,Metal Rate $ P. Oz,Metal Wt. in Gm,Metal Rate in Gms,Metal Cost,Finding Cost,Stone Shape,Stone Qlty,Sieve /  MM,Stone Size,Stone wt. Total,Stone Rate,Stone Cost,Stone Pcs,Setting Type,Setting Rate,Setting Charges,Other Charges,Charges,,Details,Minimum Diam Wt,Cost,Price 1,INCR/DECR,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,2,,,,,,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,,,,Total,2.46,426.395,855,,,,,,
Collection,,,,,,,Total,277.0157699,0,,,,,1.02,,86.7,11,,,20,,14.701,,Net Margin,,,50.13%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD163D2-R6616,D2-RF022721,ZR1590E-196GD-A,,14KW,2800,4.13,58.81438852,242.9034246,,RD,EF VS,7.3,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.46,303.75,,0.086751223,,,,,
make directly from cad,RM 5463,ZR1590SM-46CZ-L,,,,,,,,RD,E VS2,2.2,,0.5,79,39.5,10,bezel,0.8,8,J Back,,,Duty/Ship,,21.2625,,,0.086751223,0.46,RD,1.5,325.0125
,SIZE US 6.5,01/14/1900,,,,,,,,,,,,,,,,,,,Dia. Han.,1.185,,Total Imp. Cost,,325.0125,655,,,,,,
,,01/14/1900,,,,,,,,,,,,,,,,,,,Miligrain,,,Center,1.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Two Tone,,,Setting,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Solder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,2,,,,,,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,,,,Total,1.96,325.0125,655,,,,,,
Collection,,,,,,,Total,242.9034246,0,,,,,0.5,,39.5,11,,,8,,13.285,,Net Margin,,,50.38%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD163D2-R6618,D2-RF020738,ZR1591E-200GD-A,,14KW,2800,4.5,58.81438852,264.6647483,,RD,EF VS,7.3,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.5,330.5,,0.094523124,,,,,
make directly from cad,RM 5467,ZR1591SM-50CZ-L,,,,,,,,RD,E VS2,2.2,,0.54,79,42.66,12,bezel,0.8,9.6,J Back,,,Duty/Ship,,23.135,,,0.094523124,0.5,RD,1.5,353.635
,SIZE US 6.5,01/14/1900,,,,,,,,,,,,,,,,,,,Dia. Han.,1.2798,,Total Imp. Cost,,353.635,710,,,,,,
,,01/14/1900,,,,,,,,,,,,,,,,,,,Miligrain,,,Center,1.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Two Tone,,,Setting,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Solder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,2,,,,,,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,,,,Total,2,353.635,710,,,,,,
Collection,,,,,,,Total,264.6647483,0,,,,,0.54,,42.66,13,,,9.6,,13.3798,,Net Margin,,,50.19%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD163D2-R6610,D2-RF2B9842,ZR1592E-246GD-A,,14KW,2800,4,58.81438852,235.2575541,,RD,EF VS,7.3,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.96,341.25,,0.084020555,,,,,
make directly from cad,RM 5460,ZR1592SM-96CZ-L,,,,,,,,RD,E VS2,2.6,,1.022,79,80.738,14,prong,0.75,10.5,J Back,,,Duty/Ship,,23.8875,,,0.084020555,0.96,RD,1.5,365.1375
,SIZE US 6.5,01/14/1900,,,,,,,,,,,,,,,,,,,Dia. Han.,2.42214,,Total Imp. Cost,,365.1375,735,,,,,,
,,01/14/1900,,,,,,,,,,,,,,,,,,,Miligrain,,,Center,1.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Two Tone,,,Setting,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Solder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,2,,,,,,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,,,,Total,2.46,365.1375,735,,,,,,
Collection,,,,,,,Total,235.2575541,0,,,,,1.022,,80.738,15,,,10.5,,14.52214,,Net Margin,,,50.32%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD163D2-R6602,D2-RF024524,ZR1593E-196GD-A,,14KW,2800,4.51,58.81438852,265.2528922,,RD,EF VS,7.3,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.46,358.75,,0.094733176,,,,,
make directly from cad,RM 5443,ZR1593SM-46CZ-L,,,,,,,,RD,E VS2,0.9,,0.0696,198,13.7808,16,micro prong,0.5,8,J Back,,,Duty/Ship,,25.1125,,,0.094733176,0.46,RD,1.5,383.8625
,SIZE US 6.5,01/14/1900,,,,,,,,RD,E VS2,1.1,,0.058,145,8.41,8,micro prong,0.5,4,Dia. Han.,1.668924,,Total Imp. Cost,,383.8625,770,,,,,,
,,01/14/1900,,,,,,,,RD,E VS2,1.5,,0.38,88,33.44,24,micro prong,0.5,12,Miligrain,,,Center,1.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Two Tone,,,Setting,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Solder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,2,,,,,,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,,,,Total,1.96,383.8625,770,,,,,,
Collection,,,,,,,Total,265.2528922,0,,,,,0.5076,,55.6308,49,,,24,,13.768924,,Net Margin,,,50.15%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD163D2-R6599,D2-RF021174,ZR1594E-180GD-A,,14KW,2800,3.75,58.81438852,220.553957,,OVAL,EF VS,8.7 X 6.4,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.3,280.25,,0.07876927,,,,,
make directly from cad,RM 5402,ZR1594SM-30CZ-L,,,,,,,,RD,E VS2,0.9,,0.0186,198,3.6828,6,micro prong,0.5,3,J Back,,,Duty/Ship,,19.6175,,,0.07876927,0.3,OV,1.5,299.8675
,SIZE US 6.5,01/14/1900,,,,,,,,RD,E VS2,1.2,,0.116,120,13.92,12,micro prong,0.5,6,Dia. Han.,1.006824,,Total Imp. Cost,,299.8675,600,,,,,,
,,01/14/1900,,,,,,,,RD,E VS2,1.8,,0.202,79,15.958,8,micro prong,0.5,4,Miligrain,,,Center,1.5,,,,,,,,
